#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.587185 0.0521154 0.00385599 0.000867259 0.0490693 0.00373087 0.000944096 0.0388967 0.00675765 0.00609564
0.592248 0.0508156 0.00383543 0.000809781 0.0477807 0.00374251 0.000887035 0.0381293 0.00666855 0.00602902
0.59731 0.0494718 0.00373632 0.000831283 0.0464508 0.00374204 0.000881929 0.037321 0.00641289 0.00596787
0.602373 0.0482805 0.00363 0.000737315 0.0452646 0.00372938 0.000847135 0.036612 0.00637407 0.00591788
0.607435 0.0470791 0.00359319 0.000745184 0.0440732 0.00361922 0.000788012 0.0358754 0.00625605 0.00583697
0.612498 0.0458725 0.00351001 0.000719144 0.0428721 0.00349195 0.000818346 0.0351328 0.00605919 0.00578478
0.61756 0.0447043 0.00349921 0.000718615 0.0417133 0.00347755 0.000792369 0.0344009 0.0058841 0.00572673
0.622623 0.0436025 0.00346188 0.000701571 0.0406173 0.00347074 0.000837317 0.0337043 0.00578019 0.00566663
0.627685 0.0424047 0.00332918 0.00065951 0.0394298 0.00350537 0.000802008 0.0329335 0.00567984 0.00559734
0.632748 0.0413951 0.00333501 0.000670233 0.0384248 0.00345202 0.000795583 0.0322925 0.00545543 0.00553935
0.63781 0.0407891 0.00316226 0.000851839 0.0378232 0.00320445 0.000979378 0.0316821 0.00523101 0.00546277
0.642873 0.0394591 0.00322319 0.000607762 0.0365015 0.00328031 0.000723128 0.0310412 0.00512734 0.00535911
0.647935 0.038498 0.0031784 0.000621946 0.0355454 0.00323519 0.000702076 0.030409 0.00495962 0.0052489
0.652998 0.0375586 0.00313846 0.000628766 0.0346182 0.00316693 0.000761368 0.0297856 0.00480169 0.00515425
0.65806 0.0367403 0.00309773 0.000642807 0.0338016 0.00310164 0.00075681 0.0292496 0.00464876 0.00506155
0.663123 0.0358638 0.00299202 0.000668996 0.0329313 0.00293253 0.000800315 0.0286458 0.00448538 0.00497244
0.668185 0.0351051 0.0028883 0.000675521 0.0321757 0.00284257 0.000826232 0.0281565 0.00432934 0.0048961
0.673248 0.0342153 0.00275454 0.000743154 0.031294 0.00275423 0.000825887 0.0275382 0.0041793 0.00480494
0.67831 0.0334832 0.0026821 0.000769702 0.0305646 0.00270944 0.000825588 0.0270411 0.00404831 0.00472142
0.683373 0.0327282 0.00259442 0.000761625 0.0301265 0.00268188 0.000881992 0.026522 0.00389375 0.00464495
0.690967 0.0317006 0.00245332 0.000850461 0.028779 0.00251328 0.00092156 0.0258187 0.00368081 0.004497
0.69856 0.0306807 0.00231051 0.000900332 0.0277643 0.0023136 0.000880586 0.0251057 0.00346975 0.00439823
0.706154 0.0296556 0.00214322 0.00093046 0.0267432 0.00223776 0.000917289 0.0243645 0.00329079 0.0042851
0.713748 0.0287334 0.00206725 0.000915679 0.0258267 0.00216626 0.00093174 0.0237205 0.00314965 0.00426445
0.721342 0.0278407 0.00201725 0.000936039 0.0249369 0.00200789 0.000976593 0.023079 0.00307271 0.00420592
0.728935 0.0269819 0.00191119 0.000993027 0.0240814 0.00193291 0.00100993 0.0224564 0.00298046 0.00414239
0.736529 0.0261716 0.001829 0.000997524 0.0232711 0.00178811 0.00104871 0.0218654 0.00288276 0.00407713
0.744123 0.0253453 0.00175477 0.000969736 0.0224507 0.00162781 0.00108272 0.0212531 0.00271672 0.00401988
0.751717 0.0245757 0.00164861 0.000959309 0.0216829 0.00153435 0.00111449 0.0206802 0.00254467 0.0039789
0.75931 0.023884 0.00157538 0.000987465 0.0209965 0.00141701 0.00117424 0.0201667 0.0023298 0.00393775
0.766904 0.0232085 0.00147161 0.00104508 0.0203248 0.00134985 0.00124273 0.0196607 0.00211101 0.00390594
0.774498 0.0225631 0.00135751 0.00108574 0.0196827 0.0012471 0.00122479 0.0191746 0.00206114 0.00398932
0.782092 0.0219319 0.00124313 0.00106698 0.019058 0.00109825 0.00127513 0.018691 0.00183224 0.00392377
0.789685 0.021307 0.00113039 0.0010438 0.0184368 0.000952371 0.00133783 0.0182132 0.00170643 0.00391393
